track_id,track_name,track_popularity,track_duration,artist_name,artist_popularity,genres,available_markets,danceability,acousticness,tempo
5woaU1FNkqCwg6WzWiQPW5,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",67,253568,Saweetie,83,cali rap,178,0.948,0.00647,100.032
67rf4h3DHyn2ijURgjAzK4,"Two Minuets with Contredanses (Quadrilles), K.463: Minuet No.1 in F",2,148760,Wolfgang Amadeus Mozart,79,classical,95,0.453,0.976,131.659
31qCy5ZaophVA81wtlwLc4,Anyone,87,190779,Justin Bieber,100,canadian pop,177,0.686,0.181,115.884
6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,74,163386,Auli'i Cravalho,69,disney,114,0.571,0.649,83.72
5veJDT0MLsLbhYsx42GXUD,Don't Stand So Close To Me,69,242666,The Police,79,album rock,178,0.799,0.0453,140.309
6uVzeU47Qzg0rrMneP5BNg,Love Ain't,70,186118,Eli Young Band,67,contemporary country,178,0.6,0.00566,98.007
7BDbyDs5FUmnh955RABFd7,Good Kisser,65,218493,Lake Street Dive,67,boston rock,178,0.485,0.119,160.336
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,77,146250,Led Zeppelin,82,album rock,164,0.564,0.013,112.937
0rzNMzZsubFcXSEh7dnem7,Hold Up,71,221093,Beyoncé,88,dance pop,178,0.524,0.745,80.744
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),66,217405,Travis Scott,95,rap,177,0.706,0.0372,78.534
1Z6lKdYhwp8WYoBqGCKxlM,Unskinny Bop,63,228066,Poison,68,album rock,177,0.574,0.0657,92.303
6qL5UWxRSQYml9O99ozoLv,Love Songs - Bonus,73,148640,Kaash Paige,68,alternative r&b,173,0.641,0.831,120.032
0Zg4tjgfqw9qzq7lXX2sUM,Hazey,57,265893,Glass Animals,84,gauze pop,178,0.651,0.00297,89.993
7hf89cT5FEmLV5E9fjrjG7,beamer boy,77,203373,Lil Peep,88,emo rap,178,0.743,0.0509,123.994
6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),66,221946,Kelly Clarkson,78,dance pop,1,0.562,0.046,116.044
1000nHvUdawXuUHgBod4Wv,Panini,77,114893,Lil Nas X,91,country rap,178,0.703,0.342,153.848
2LlpjmY5bXnEGSPqgH3LCX,"Ay, DiOs Mío!",1,189840,KAROL G,90,latin,95,0.715,0.496,179.997
1ZhrREyOOeFV6TxDOyiPwu,Take The Money And Run,68,170173,Steve Miller Band,72,album rock,178,0.565,0.0552,99.3
1bp2IO61zbQrbWNmKKxg3f,The Joker,76,264503,Steve Miller Band,72,album rock,178,0.596,0.365,83.293
2RxC2peY3FtrurYmbbmanr,Qué Maldición,70,203360,Banda MS de Sergio Lizárraga,84,banda,177,0.755,0.213,177.951
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),66,217405,Travis Scott,95,rap,177,0.706,0.0372,78.534
7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),73,200106,Young Thug,92,atl hip hop,177,0.796,0.0247,97.981
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,78,236053,Lana Del Rey,89,art pop,161,0.324,0.262,113.986
1XTGyfJeMiZXrZ1W3NolcB,Know Your Enemy,63,294506,Rage Against The Machine,76,alternative metal,168,0.575,0.0125,117.413
6Z85UCEueQcgSyChlrEu5G,Fear Is a Liar,58,265120,Zach Williams,65,ccm,178,0.456,0.163,144.047
